"name","description"
"Vista aguda","Ganas ventaja en las tiradas de Alerta basadas en la vista."
"Infravisión","Ves en la oscuridad hasta 20 metros. La visión se basa en el calor desprendido por los objetos y los cuerpos. "
"Afín a la piedra","Ganas ventaja en las tiradas de Erudición relacionadas con la piedra trabajada y en las tiradas de Alerta para detectar trampas hechas o montadas sobre roca."
"Escurridizo","Ganas ventaja en las tiradas de Subterfugio relacionadas con moverse en silencio."
"Certero","Ganas un bono adicional de +1 en todos tus ataques de proyectiles."
"Ímpetu emprendedor","Ganas un trasfondo adicional durante la creación del personaje."
"Adaptable","Ganas un bono adicional de +1 a tus tiradas de Instintos."
"Ilusionista natural","Tres veces al día puedes utilizar el conjuro ilusión menor como si fueras un hechicero lanzando un conjuro de 1 Punto de poder."
"Atento al entorno","Ganas +2 a las tiradas de Alerta basadas en la vista."
"Lucha con X","X es un estilo de la siguiente lista: arma de mano y escudo, dos armas de mano, arma a dos manos o armas de proyectiles. Cuando pelees de esa forma obtienes un bono de +1 al ataque y daño."
"Ataque múltiples","Al abatir a un enemigo ganas un ataque adicional para ese mismo asalto. Puedes acumular de esta forma tantos ataques adicionales para un mismo asalto como nivel tengas."
"Encontrar el punto débil","Consigues éxitos críticos cuando atacas con cualquier arma (incluso naturales) y obtienes un resultado natural de 19 o 20 en la tirada de ataque."
"Sensibilidad mágica","Puedes gastar Puntos de poder (Pod) para realizar conjuros. También puedes lanzar conjuros almacenados en pergaminos (si posees el nivel necesario) y utilizar objetos mágicos especiales como varitas y cetros."
"Transferir esencia","Puedes convertir 3 Puntos de vida en un Punto de poder (Pod)."
"Sirviente animal","Un pequeño animal (como un ratón, un cuervo, etc.) se convierte en tu familiar. Puedes darle órdenes sencillas incluso mentalmente. Aunque en este último caso debes gastar un Punto de poder (Pod) y el familiar no puede estar a más de cinco kilómetros de distancia. Dentro de ese área puedes ver y oír todo lo que perciba tu familiar mientras mantengas la concentración. Si tu familiar muere, no podrás invocar uno nuevo hasta que subas de nivel."
"Emboscar","Ganas ventaja en las tiradas de Subterfugio relacionadas con moverse en silencio y ocultarse en las sombras. Añade 1D6 al daño si impactas cuerpo a cuerpo a un blanco desprevenido o sorprendido"
"Dedos ágiles","Obtienes ventaja en las tiradas de Manipulación relacionadas con actos de precisión (por ejemplo abrir cerraduras o sustraer las posesiones de otra persona)."
"Leer magia","Puedes usar pergaminos mágicos como si fueras un hechicero cinco niveles inferior. A nivel 6 podrás utilizar los pergaminos permitidos a los hechiceros de nivel 1."
"Canalizar milagros","Cada nivel (empezando por el primero) debes acordar con el DJ dos nuevos “milagros” que añadir a tu lista, de la misma forma que un hechicero da forma a sus conjuros. Puedes añadir más de una vez el mismo milagro, ya que solo puedes invocar cada milagro una vez al día. El poder de los milagros debe estar en consonancia con el nivel en el que se ganan, y debe ser aceptado por el DJ. Puedes utilizar la lista del apéndice 2 como guía para diseñar tus milagros."
"Leer runas","Puedes invocar milagros inscritos en pergaminos siempre que tengas el nivel requerido por el pergamino."
"Espíritu inquebrantable","Tu fe es tan fuerte que te protege de los horrores más terribles. Ganas ventaja en todas las tiradas de Sabiduría para evitar perder salud mental."
"Imposición de manos","Puedes sanar hasta 3D6 Puntos de vida al día a través de tus manos. Puedes repartir estos dados como desees (1D6 tres veces, 3D6 una sola vez o 2D6 y 1D6)."
"Detectar el mal","Tres veces al día puedes concentrarte y detectar el mal en un radio de 10 metros. El DJ establece la definición exacta de “mal”, que puede ir desde solo detectar criaturas demoníacas o caóticas, hasta identificar a cualquier individuo que quiera dañarte."
"Aura divina","Un aura de protección contra el mal te rodea de forma constante. Cualquier criatura que el DJ designe como “malvada” te atacará con desventaja. Obtienes ventaja en cualquier tirada de Instintos debida a un ataque o conjuro de una criatura malvada."
"Conocimiento del enemigo","Elige un tipo de enemigo contra el que te has especializado (orcos, goblins, kobolds, gigantes, etc.). Cuando atacas a una de esas criaturas obtienes ventaja."
"Guía experto","Obtienes ventaja en las tiradas de Supervivencia relacionadas con seguir rastros, orientarte o conseguir suministros al aire libre."
"Fundirse con la naturaleza","Es prácticamente imposible descubrirte entre la maleza si no lo deseas. Obtienes ventaja en cualquier tirada de Subterfugio relacionada con ocultarse o moverse en silencio entre la maleza."
